seen, seed_size, seed_score
327, 100, 79585.3
730, 200, 137733
1126, 300, 174276
1572, 400, 203257
2037, 500, 222434
2509, 600, 241688
2963, 700, 258302
3467, 800, 278447
3899, 900, 291767
4420, 1000, 299954
4923, 1100, 311119
5486, 1200, 320964
6166, 1300, 329792
6827, 1400, 340868
7465, 1500, 350273
8063, 1600, 359571
8722, 1700, 366329
9405, 1800, 373389
10175, 1900, 380341
10850, 2000, 386268
11604, 2100, 392490
12319, 2200, 397415
13130, 2300, 402675
13909, 2400, 408131
14930, 2500, 413252
15843, 2600, 418715
16755, 2700, 423749
17716, 2800, 428425
18793, 2900, 432916
19648, 3000, 437162
20923, 3100, 441377
22000, 3200, 445856
23093, 3300, 449375
24244, 3400, 453098
25425, 3500, 456505
26565, 3600, 460338
27715, 3700, 464665
28777, 3800, 468597
30096, 3900, 471847
31436, 4000, 475153
32668, 4100, 478204
34208, 4200, 481449
35523, 4300, 484474
37191, 4400, 487792
38617, 4500, 490962
40443, 4600, 493255
42043, 4700, 496049
43868, 4800, 498981
45544, 4900, 501767
47230, 5000, 504210
49282, 5100, 506679
51595, 5200, 509421
53910, 5300, 511724
56680, 5400, 514220
58751, 5500, 516547
61145, 5600, 519063
63918, 5700, 521702
66145, 5800, 524043
68882, 5900, 526161
71536, 6000, 528484
74677, 6100, 530457
77764, 6200, 532905
81025, 6300, 534992
84323, 6400, 537326
88052, 6500, 539647
91568, 6600, 541761
95211, 6700, 543758
99058, 6800, 545498
103599, 6900, 547396
107781, 7000, 549302
111767, 7100, 551255
113489, 7134, 551848
113489, 7134, 551871
113489, 7134, 551889
113489, 7134, 551873
113489, 7134, 551887
113489, 7134, 551881
113489, 7134, 551877
101263, 13985, 693600
113489, 7134, 551881
113489, 7134, 551893
113489, 7134, 551876
113489, 7134, 551871
113489, 7134, 551873
